Identifier,Start Date / Time,End Date / Time,Title,Subtitle,Type,Description,Permalink,Building Name,Room,Location Name,Cost,Tags,Sponsors
136347-21892282,2/20/26 14:00,2/20/26 14:45,T.REX,,Film Screening,"With stunning CGI visuals and the latest research from leading paleontologists, the film offers audiences a fresh perspective on the GOAT (Greatest Of All Tyrants): Tyrannosaurus rex. Anchored by the true story of the young fossil hunters who made the discovery of a lifetime when they spotted a large fossilized leg bone on a walk on public lands in North Dakota, T. REX intercuts the remarkable fossil dig, with cutting edge computer graphics that bring the iconic T. rex to life—from hatchling to hulking adult. Narrated by Jurassic Park actor Sam Neill, T. REX explores the newest science that has helped reinvent our understanding of the iconic predator.",https://events.umich.edu/event/136347,Museum of Natural History,Planetarium & Dome Theater,Museum of Natural History,Tickets are $8 and are available in the museum store on the day of the show.,"Museum
natural history museum
Planetarium",Planetarium & Dome Theater at the Museum of Natural History
144149-21895155,2/20/26 14:00,2/20/26 15:00,WISE All-Community Meetings,,Workshop / Seminar,"Whether you are new to WISE and interested in learning more about who we are and what we do or are simply looking for ways to connect with other STEM students or hoping to get more involved with us, we invite you to join us for our all-community meetings. You can expect a brief update about upcoming events, resources available, and even share about relevant events you are hosting with our community. Then we will bring out snacks, crafts, puzzles, and our massage chair for you to relax, make new friends, and hang out in our space. All STEM undergraduate/graduate students and postdocs are welcome to attend.",https://events.umich.edu/event/144149,,,3236 Undergraduate Science Building (WISE Office),,Sessions,Sessions @ Michigan
144433-21895349,2/20/26 14:00,1/25/26 1:00,Women's Track & Field vs Silverston Invitational,,Sporting Event,Women's Track & Field vs Silverston Invitational,https://events.umich.edu/event/144433,Off Campus Location,,"Ann Arbor, Mich.",See MGoblue.com,Athletics,Michigan Athletics
144698-21895738,2/20/26 14:30,2/20/26 16:30,Aro Week Pal-entines Craft Making,Aromantic Spectrum Awareness Week 2026,Social / Informal Gathering,"Unleash your creativity while making platonic gifts in celebration of Aromantic Spectrum Awareness Week (ASAW)! Address a notecard to a friend, family member or even yourself! There will be snacks, a make-your-own-tea station, lots of craft supplies for Pal-entines-making, and some stuffable plushies to make your very own buddy (while supplies last). This event is open to U-M students of all genders and sexualities.

MORE ARO WEEK EVENTS
https://events.umich.edu/list?filter=tags:Aro+Awareness+Week,sponsors:1030,&range=2026-02-16to2026-02-21

MORE SPECTRUM CENTER EVENTS
https://spectrumcenter.umich.edu/events",https://events.umich.edu/event/144698,Michigan Union,Spectrum Center (3020),Michigan Union,,"Aro Awareness Week
Aromantic
LGBT",Spectrum Center
145645-21897629,2/20/26 14:30,2/20/26 16:30,Carol Vaness Voice Master Class,,Class / Instruction,"Internationally renowned soprano Carol Vaness will work with voice students focusing on the operatic repertoire of Mozart. Free and open to the public.

GUEST ARTIST BIO

CAROL VANESS launched her professional singing career at the New York City Opera, where she appeared regularly from 1979 to 1983. Since then, she has sung on the world's biggest stages and at premier music festivals, collaborated with today's foremost conductors in operatic and symphonic repertoires, appeared on numerous television broadcasts throughout North America and Europe, and compiled a distinguished catalog of recordings. Her interpretations of Mozart's dramatic heroines, including Fiordiligi in *Così fan tutte*, Donna Anna and Donna Elvira in *Don Giovanni*, Elettra in *Idomeneo*, and Vitellia in *La Clemenza di Tito*, have been hailed as definitive, and she has become especially identifiable with the role of Floria Tosca. She performed the title role of Puccini's *Tosca* at the Metropolitan Opera in 2004 opposite Pavarotti in the legendary tenor's final operatic performance. Vaness made her professional debut as Vitellia for the San Francisco Spring Opera and has been acknowledged as the world's leading interpreter of this role. She has appeared as Vitellia at the Met Opera, Paris Opera, Royal Opera, Covent Garden, Chicago Lyric Opera and Gran Teatro del Liceo and at the Salzburg Festival and other leading theaters. Among her many celebrated television appearances, she has been featured on the *Pavarotti Plus* and *Pavarotti and Friends* telecasts from Lincoln Center, as well as the Richard Tucker Gala and *In Performance at the White House* with members of the New York City Opera.",https://events.umich.edu/event/145645,Earl V. Moore Building,Britton Recital Hall,Earl V. Moore Building,Free - no tickets required,"Free
Music
North Campus
Talk
Workshop","School of Music, Theatre & Dance (SMTD)"
144887-21896914,2/20/26 14:30,2/20/26 15:30,FSL - Joint Panhel/IFC Sober Monitor Training (SMT),,Workshop / Seminar,,https://events.umich.edu/event/144887,,,1443 Washtenaw Ave Ground Floor,,Sessions,Sessions @ Michigan
139936-21886377,2/20/26 14:30,2/20/26 15:30,Gamma conjecture I for flag varieties (Combinatorics Seminar),Chi Hong Chow (Virginia Tech),Workshop / Seminar,"Gamma conjecture I, proposed by Galkin, Golyshev and Iritani, asserts that the limit of normalized Givental’s J-function of a Fano manifold is equal to a characteristic class defined in terms of the gamma function. In this talk, I will discuss the case for arbitrary flag varieties, emphasizing its relationship to D-module mirror symmetry, geometric crystals and their positive structures.",https://events.umich.edu/event/139936,East Hall,3866,East Hall,,Mathematics,"Combinatorics Seminar - Department of Mathematics
Department of Mathematics"
136610-21893486,2/20/26 14:30,2/20/26 16:30,SAPAC GROWE: Engendering Respectful Communities Workshops - SY25 - 26,,Workshop / Seminar,"Engendering Respectful Communities (ERC) is a one session workshop that engages graduate students in meaningful dialogue about various forms of sexual misconduct they may encounter in both professional and social spaces, and provides resources for intervention or support in such circumstances.The primary goal of the workshop is to address complexities experienced by graduate students as they engage in bystander intervention, so that participants gain an increase in awareness of barriers to action and familiarity with strategic planning to overcome them. The workshop also introduces participants to on-campus resources and provides knowledge on how sexual misconduct can unfold in graduate-specific settings.The ERC workshop uses small-group circles intended to promote active reflection and space to build community. The procedure of circles is introduced at the beginning of the workshop in order to help participants get used to the process, which they do through a circle for introductions and value-sharing for the workshop space. These circles depict various, realistic scenarios related to sexual misconduct within the graduate community. The circle process allows circle members to process the monologues, reflect on complexities with identity and power dynamics within them, name potential barriers to intervention, and think of various ways in which they might respond if faced with similar situations. The circles provide a way to foster collective building of ideas, where participants learn from one another and all input is equally valued. Participants are encouraged to share but can always pass if desired, creating an environment where participation is open but not forced. Due to the participatory nature of the workshop, if you are to arrive more than 20 minutes late, we will ask you to re-register for another workshop session.If you have any questions about or concerns with taking this workshop, or are in need of an exemption, please contact jhippe@umich.edu or fill out this form. We know some students come to campus having already experienced harm. If you have circumstances that make completing this course challenging, please reach out to the GROPWE team. SAPAC GROWE provides exemptions to the ERC workshop (where requirements are set in place) on a case by case basis. The Program Manager will communicate with students requesting exemptions via email and/or meet with students via zoom meetings to discuss their need for exemptions and provide any relevant and necessary resources.",https://events.umich.edu/event/136610,,,,,Sessions,Sessions @ Michigan
141898-21889613,2/20/26 15:00,2/20/26 16:00,AIM Seminar:  Bootstrapping the Math and Physics of Scattering Amplitudes,Nick Geiser (University of Michigan),Lecture / Discussion,"Abstract:  Scattering amplitudes A, or equivalently the S-matrix S = 1 + iA, are mathematical quantities which encode the quantum mechanical probabilities for particle scattering processes. Amplitudes constitute an entire subfield of theoretical physics and are essential tools for experimental physics, from the  Large Hadron Collider (LHC) to the Laser Interferometer Gravitational-Wave Observatory (LIGO). In this talk, I will describe my research using “bootstrap” techniques and consistency principles to study the math and physics of amplitudes themselves. This work is part of the modern S-matrix bootstrap program, a framework for exploring the landscape of consistent quantum theories, including extensions of the Standard Model and theories of quantum gravity.

I will begin the talk with a brief history of particle physics and the S-matrix bootstrap program. I will then introduce several physical principles which constrain amplitudes, namely Lorentz invariance, analyticity, unitarity, and crossing symmetry. Finally, I will sketch a recent proof using these principles to bound the allowed masses and spins of particles in any consistent quantum theory. This talk will assume very little prior knowledge of particle physics, but I will use some complex analysis and group theory with a physicist’s level of rigor.

Contact:  AIM Seminar Organizers",https://events.umich.edu/event/141898,East Hall,1084,East Hall,,Mathematics,"Applied Interdisciplinary Mathematics (AIM) Seminar - Department of Mathematics
Department of Mathematics"
145410-21897262,2/20/26 15:00,2/20/26 17:00,Can ‘Slavic’ Speak for Minorities? — Who Gets to Belong in Eastern Europe? - Talk 5,"Crimean Tatars, Colonial Aphasia, and Ukraine’s Decolonial Horizon / Greta Uehling",Presentation,"This talk analyzes Russia’s imperial domination of Ukraine through the longue durée of Crimean Tatar dispossession, arguing that Crimean Tatars offer a crucial lens on Ukraine’s past, present, and decolonial future. Long racialized as Russia’s Others, Crimean Tatars were rendered legible through colonial tropes that produced enduring aphasia within Slavic and East European studies. Emerging sites of encounter, mourning, and recognition since 2014 point toward a bifocal decolonial project that requires disentanglement from Russian imperial power while simultaneously confronting and unmaking colonial residues within Ukraine itself.

This is a hybrid event. For Zoom attendance, please register here: https://myumi.ch/n1me9",https://events.umich.edu/event/145410,Modern Languages Building,4314,Modern Languages Building,,"Crees
Eastern Europe
Rackham
Slavic
Ukraine","Slavic Languages & Literatures
Rackham Graduate School
Center for Russian, East European, and Eurasian Studies"
143420-21893113,2/20/26 15:00,2/20/26 17:00,Global Postcolonialisms Collective,The Mud Kin Project: A Curatorial Mapping Lecture & Discussion with Tracy Fenix,Lecture / Discussion,"As we explore what it means to be a decolonial scholar outside the traditional walls of the academy, we turn our attention to the intersection of public art, archives, and ecological urban planning.

We are thrilled to be joined by curator, cultural memory worker, and land steward Tracy Fenix, who will present on The Mud Kin Project—a land-based curatorial mapping initiative focused on Latinx/é and Indigenous projects.

Tracy’s lecture will address the challenges of archival documentation and hyper-surveillance, sharing methods for reclaiming place and narrative. They will explore how collective mapping can mobilize power and visibility in the face of ongoing systemic oppression. Following the lecture, audience members will be invited to participate in a discussion on personal story-mapping strategies and interpretations of the land.

Please RSVP here: https://forms.gle/gDpWo7dayZqCJTBQ7
Food and refreshments will be served.",https://events.umich.edu/event/143420,Angell Hall,3222,Angell Hall,,"Community
Discussion
Education
English Language And Literature
Graduate Students
Interdisciplinary",Department of English Language and Literature
145590-21897562,2/20/26 15:00,2/20/26 17:00,Lunar New Year Across Asia,,Social / Informal Gathering,"Come enjoy food, crafts, and games from China, Korea, the Philippines, and more as we celebrate the Lunar New Year festival! Everyone is welcome; stop by for 10 minutes or 2 hours!",https://events.umich.edu/event/145590,North Quad,1500,North Quad,,"Asia
Asian Languages And Cultures
Chinese Studies
Community
cultural
Culture
Festival
Food
Free
Games
Global Citizen
Global Engagement
Holiday
In Person
intercultural
International
Korea
Korean Studies
Multicultural
Philippine Studies
Philippines
Social
Southeast Asia
Southeast Asian Studies",Language Resource Center
102102-21895722,2/20/26 15:00,2/20/26 17:00,Maize & Blue Cupboard Volunteering,Multiple conference events and sessions,Conference / Symposium,"Come help us during normal operating hours; as well as, unload our weekly Food Gatherers deliveries and stock our shelves! If you are outside the U-M community, please reach out to maize.blue.cupboard@umich.edu to sign up.",https://events.umich.edu/event/102102,,,Maize and Blue Cupboard inside Betsy Barbour,,Sessions,Sessions @ Michigan
145761-21897788,2/20/26 15:00,2/19/26 19:00,Men's Track & Field vs Silverston Invitational,,Sporting Event,Men's Track & Field vs Silverston Invitational,https://events.umich.edu/event/145761,Off Campus Location,,"Ann Arbor, Mich.",See MGoblue.com,Athletics,Michigan Athletics
141325-21892210,2/20/26 15:00,2/20/26 15:45,Sky Tonight,,Exhibition,"A live presentation on what to find in the sky tonight and for the coming few weeks. This presentation includes how to find the cardinal directions with the North Star, current and upcoming constellations, visible planets, a few deep sky objects depending on the season, and other interesting astronomical visualizations. If you want to be able to look up from your own backyard and know what to look for, this is the show for you.",https://events.umich.edu/event/141325,Museum of Natural History,Planetarium & Dome Theater,Museum of Natural History,Tickets are $8 and are available in the museum store on the day of the show.,"Astronomy
Children
Family
Museum
museums
natural history museum
Natural Sciences
Planetarium
Prospective Undergraduate Students
Science
Space
Undergraduate",Planetarium & Dome Theater at the Museum of Natural History
145514-21897453,2/20/26 15:00,2/20/26 16:00,Student Algebraic Geometry: Iitaka conjecture,Zhi Zheng,Workshop / Seminar,"The plurigenera and Kodaira dimension are important birational invariants for smooth projective varieties. In this talk, we will introduce Iitaka's subadditivity conjecture for the Kodaira dimension, and its relationship to the positivity of the direct image of the pluricanonical bundle.",https://events.umich.edu/event/145514,East Hall,2866,East Hall,,Mathematics,"Student Algebraic Geometry Seminar - Department of Mathematics
Department of Mathematics"
138091-21891108,2/20/26 15:00,2/20/26 16:00,Sustainability Coffee Chats: Free coffee and good conversation!,,Social / Informal Gathering,"The Student Sustainability Coalition will be hosting our coffee chats throughout the semester and we want you to join us!  Passionate about sustainability?--water conservation, AI, carbon neutrality, transportation, ANYTHING!--come chat with us, share your passion(s) and interests, all while helping contribute to a more sustainable University of Michigan! Not to mention: WE WILL BUY YOUR DRINK!

Find us at: 
Maizes Cafe every Friday from 3-4p and Rooting for Change Cafe (3rd Floor Palmer Commons) every other Wednesday from 5-6p",https://events.umich.edu/event/138091,Michigan League,Maizie's Cafe,Michigan League,,"Activism
Climate Change
Discussion
Food
food and the environment
Free
Free Food
Graduate and Professional Students
In Person
Social
Social Impact
Student Org
Sustainability
Talk
Undergraduate Students","Student Sustainability Coalition
Student Life Sustainability"
135685-21895051,2/20/26 15:00,2/20/26 17:00,TRANSDISCIPLINARY FELLOWS 2025-2026,Multiple conference events and sessions,Conference / Symposium,,https://events.umich.edu/event/135685,,,Faculty Dining Room,,Sessions,Sessions @ Michigan
145760-21897787,2/20/26 15:00,2/19/26 19:00,Women's Track & Field vs Silverston Invitational,,Sporting Event,Women's Track & Field vs Silverston Invitational,https://events.umich.edu/event/145760,Off Campus Location,,"Ann Arbor, Mich.",See MGoblue.com,Athletics,Michigan Athletics
145015-21896431,2/20/26 15:30,2/20/26 23:59,Bike Repair Hours ,,Other,"Does your bike need a tune-up? Need help fixing a flat or getting your gears to shift smoothly? 
Come to the FREE Wolverines on Wheels Bike Repair Hours on Wednesdays from 4-6p and Fridays from 3:30-5p.
Sign up for a 30-minute slot and your bike to the Duderstadt Fabrication Underground (B430-Lower Level) for peer-to-peer bike repair and maintenance. Our volunteers can help you diagnosis bike problems, guide you through repairs, and provide the tools & materials needed to get you back to riding. 
This is NOT a drop-off service: ALL participants are expected to stay and participate in repairs to learn basic bike maintenance with the support of our volunteers. Expect to get your hands dirty and leave feeling more confident in your skills!
Only one bike per participant. You may sign up for multiple slots in a row but please be mindful of sharing the opportunity with other campus riders. Walk-ins are welcome but come secondary to sign-ups. 
If you are interested in becoming a volunteer for our new program, please email wolverinesonwheels-admin@umich.edu
The Duderstadt Fabrication Underground's Bike Repair rack is available for use during all operation hours (M-F 12-6p). WoW Volunteers will only be there at our dedicated support hours with additional materials (tire patches, grease, etc). 
https://calendly.com/wolverinesonwheels-admin-umich/30min ",https://events.umich.edu/event/145015,,,Duderstadt Fabrication Underground,,,Maize Pages Student Organizations
145435-21897344,2/20/26 15:30,2/20/26 17:00,NERS Colloquia: Grad Student Poster Sessions,,Presentation,"Explore research across nuclear science, from advanced reactor systems and materials to radiation detection, fusion, policy, and more.",https://events.umich.edu/event/145435,Lurie Robert H. Engin. Ctr,Johnson Rooms,Lurie Robert H. Engin. Ctr,,"College Of Engineering
colloquium
Energy
Engineering
Environment
Materials Science
Michigan Engineering
Nuclear
Nuclear Engineering and Radiological Sciences
Research
Science
Sustainability",Nuclear Engineering & Radiological Sciences
144907-21896130,2/20/26 15:30,2/20/26 16:30,Smith Lecture: François Tissot,Oxidized Hadean magmas and an Archean onset of mobile-lid tectonics revealed by U XANES in Jack Hills zircon,Lecture / Discussion,"Over the years, the redox-sensitive nature of uranium has brought some first-order constraints on the evolution of Earth’s surface: from the survival of detrital uraninite pointing to anoxic conditions in the Archean atmosphere/ocean, to U isotope variations in the sedimentary record enabling the quantification of past ocean anoxia. In principle, the redox sensitivity of U could also be leveraged in magmatic environments. Indeed, in silicate melts, U can occur in either the 4+, 5+, or 6+ valence state and information on magma oxygen fugacity (ƒO2) could be retrieved from U-bearing phases provided they can incorporate multivalent U during crystallization. In the first part of this talk, I will present how we used U XANES to probe the speciation of U in zircon grains from various localities, how we found that zircon can and do incorporate multivalent U in their structure, and how the relative proportion of U4+, 5+, and 6+ correlate with the ƒO2 of their host rocks. Having established U oxidations states in zircon as a new tracer of magma redox, in the second part of this talk I will then discuss how we applied this technique to zircon from the Jack Hills, Australia, how the cores and metamorphic rims of the investigated grains have distinct redox and trace elements systematics, and the novel constraints these results place on the nature of Hadean magmas and tectonic modes in the Hadean-Archean.",https://events.umich.edu/event/144907,1100 North University Building,1528,1100 North University Building,,Earth And Environmental Sciences,Earth and Environmental Sciences
145508-21897447,2/20/26 16:00,2/16/26 1:00,Men's Track & Field vs Silverston Invitational,,Sporting Event,Men's Track & Field vs Silverston Invitational,https://events.umich.edu/event/145508,Off Campus Location,,"Ann Arbor, Mich.",See MGoblue.com,Athletics,Michigan Athletics
145507-21897446,2/20/26 16:00,2/16/26 1:00,Women's Track & Field vs Silverston Invitational,,Sporting Event,Women's Track & Field vs Silverston Invitational,https://events.umich.edu/event/145507,Off Campus Location,,"Ann Arbor, Mich.",See MGoblue.com,Athletics,Michigan Athletics
145357-21897166,2/20/26 16:00,2/20/26 18:00,Zero Waste Week Challenge: Composting Workshop,,Workshop / Seminar,"Join Trash Club, Campus Farm Club, and the U-M Office of Campus Sustainability in an interactive workshop on composting! Participants will learn the significance of composting for nutrient cycling and climate change mitigation, the different ways it can be done, and how to compost themselves! 

The event is from 3:45-6pm, meeting at the Matthaei Botanical Gardens auditorium. A bus from Central Campus will be leaving from Michigan League at 4 sharp, and will leave Matthaei at 6pm to return to campus. People are welcome to drive themselves, the event will start at 4 pm. 

Register Here: https://docs.google.com/forms/d/e/1FAIpQLSdaD9k-7W2w4F-tnQyIfYkA9mEYrRmY1Wog3BpEUxowsv-a-w/viewform?pli=1",https://events.umich.edu/event/145357,Matthaei Botanical Gardens,Campus Farm,Matthaei Botanical Gardens,,"Circular Economy
Zero Waste","Trash Club
Office of Campus Sustainability
Campus Farm Club"
135616-21896986,2/20/26 16:30,2/20/26 17:30,ALICE LLOYD 2025-2026,Multiple conference events and sessions,Conference / Symposium,,https://events.umich.edu/event/135616,,,Room 2060,,Sessions,Sessions @ Michigan
138768-21883840,2/20/26 17:00,2/20/26 18:00,Kaffeestunde im Max Kade Haus,,Social / Informal Gathering,"Kaffeestunde is a weekly opportunity to mingle and unwind ""auf Deutsch"". It is a place to connect with other Max Kade residents, chat informally in German and participate in activities prepared by facilitators. The Kaffeestunde is open to the wider German-speaking community at UofM.

Kaffeestunde meets weekly on Fridays from 5-6pm in the Edward Said Lounge (2450 NQ)",https://events.umich.edu/event/138768,North Quad,Edward Said Lounge (2450 NQ),North Quad,,"German
Max Kade",Germanic Languages & Literatures
144240-21894960,2/20/26 17:00,2/20/26 18:00,MMI Group Practice Session,,Careers / Jobs,"Practice a few MMI questions with fellow Wolverines in a safe environment during this UCC peer-facilitated exercise. Make the most ofthis opportunity by familiarizing yourself in advance with the the resources at: https://careercenter.umich.edu/article/mmi-resources If unable to attend on this date, look for more sessions in your Handshake account. Given the particular nature of these programs, MMI Group Practice Sessions are NOT recorded. Program sponsored by the UM University Career Center. This event's information is shown in Handshake as well as on the Happening @ Michigan calendar so that it will be seen by a larger number of U-M Students. You can only register to attend this event within Handshake. If you'd like to indicate that you'll be attending this event and see more details, please go to this link: https://umich.joinhandshake.com/events/1894726/share_preview  We want to ensure full and equitable participation in our events. If an accessibility accommodation would promote your full participation in this event, please indicate your accommodation requirements in this form, preferably at least 14 days prior to the program. If you have any questions regarding access to our programs, please don't hesitate to reach out to Cierra Sutherland at cierrasu@umich.edu. To ensure sufficient time for arranging your requested accommodation(s) or exploring suitable alternatives, we kindly request that you inform us as soon as possible. #UCC",https://events.umich.edu/event/144240,,,,,,University Career Center UCC
144957-21896201,2/20/26 17:00,2/20/26 19:00,Star Wars Game Nights,,Film Screening,"Come join some fellow Star Wars fans as we play Star Wars themed board games, card games, video games, or dive into the lore of the franchise through debates!",https://events.umich.edu/event/144957,Mason Hall,,Mason Hall,,,Maize Pages Student Organizations
144725-21895768,2/20/26 17:00,2/20/26 18:00,West Quad Kickback at The Connector,,Social / Informal Gathering,"Join the West Quad Diversity Peer Educators and Multicultural Council to celebrate healthy relationships and self-love with an affirmation station, snacks, and music!",https://events.umich.edu/event/144725,The Connector,Room 1520,The Connector,,"Community Building
Community Engagement
free
Holiday
Valentine",Michigan Housing Community Connections and Engagement
142090-21889996,2/20/26 17:00,,Women's Leadership Banquet,(WLSA),Performance,"Michigan League Cocktails at 5PM in the Vandenberg Room. 
Please visit https://mutotix.umich.edu/6151/6183 for more detail.",https://events.umich.edu/event/142090,,,Z - GA 300,See Site For Pricing Information,Mutotix,Michigan Union Ticket Office (MUTO)
145360-21897189,2/20/26 17:00,2/20/26 19:00,Zero Waste Week Challenge: Celebration + Screen Printing,,Social / Informal Gathering,"Come celebrate the end of Zero Waste Week with free food from Earthen Jar, and chance to meet other challenge members and screen print your very own Zero Waste Week shirt or bag! Bring the trash you collected during the week to reflect on your consumption habits!",https://events.umich.edu/event/145360,Dana Natural Resources  Building,1st Floor Commons,Dana Natural Resources  Building,,"Circular Economy
Zero Waste","Trash Club
Zero Waste Michigan"
143147-21892319,2/20/26 17:30,2/20/26 23:59,Feast of Word and Spirit,,Social / Informal Gathering,"The “Feast of Word and Spirit” is a Bible-study gathering taking place from February 20–22 on Central Campus. We invite fellow Christian organizations on campus to partner with us for this event. This gathering will provide students with the opportunity to dive deeply into God’s Word through teaching and preaching by seasoned ministers, for the equipping of the saints and to cultivate a richer spiritual atmosphere on campus.",https://events.umich.edu/event/143147,,,Rm 1405,,,Maize Pages Student Organizations
145284-21897005,2/20/26 17:30,2/20/26 18:30,"Mira Walker, piano",,Performance,DMA candidate Mira Walker performs a dissertation recital.,https://events.umich.edu/event/145284,Earl V. Moore Building,Britton Recital Hall,Earl V. Moore Building,Free - no tickets required,"Free
Music
North Campus","School of Music, Theatre & Dance (SMTD)"
144711-21895754,2/20/26 18:00,2/20/26 19:30,Black History Month Trivia Night at Markley,,Social / Informal Gathering,Join the Markley Diversity Peer Educators for a fun night of celebration-- play trivia to win free prizes and enjoy tasty food!,https://events.umich.edu/event/144711,Mary Markley Hall,Angela Davis Multicultural Lounge,Mary Markley Hall,,"Black History Month
Free Food
Game Day
Game Night",Michigan Housing Community Connections and Engagement
144576-21895505,2/20/26 18:00,2/20/26 19:30,North Campus Lunar New Year Celebration at Bursley,,Social / Informal Gathering,Join the Baits II and Bursley Diversity Peer Educators to celebrate Lunar New Year by making paper lanterns and trying a variety of dishes!,https://events.umich.edu/event/144576,Bursley Hall,Blue Apple Lounge,Bursley Hall,,"Free Food
Holiday
North campus
Social",Michigan Housing Community Connections and Engagement
135683-21894558,2/20/26 18:00,2/20/26 20:00,SOUTH QUAD / FLETCHER 2025-2026,Multiple conference events and sessions,Conference / Symposium,,https://events.umich.edu/event/135683,,,Ambatana Multicultural Lounge (South Quad Basement),,Sessions,Sessions @ Michigan
135683-21894559,2/20/26 18:00,2/20/26 20:00,SOUTH QUAD / FLETCHER 2025-2026,Multiple conference events and sessions,Conference / Symposium,,https://events.umich.edu/event/135683,,,South Quad Game Room,,Sessions,Sessions @ Michigan
135685-21895025,2/20/26 18:00,2/20/26 20:00,TRANSDISCIPLINARY FELLOWS 2025-2026,Multiple conference events and sessions,Conference / Symposium,,https://events.umich.edu/event/135685,,,Northwood MPR,,Sessions,Sessions @ Michigan
145209-21896805,2/20/26 18:00,2/20/26 21:30,🎊 Celebrate Chinese New Year with China Friends at UM! 🧧,,Social / Informal Gathering,"
🎊 Celebrate Chinese New Year with China Friends at UM! 🧧
Join us for an evening of joy, culture, and community as we welcome the Lunar New Year together!
📅 Date: Friday, February 20
⏰ Time: 6:00 PM
📍 Location: 2580 Packard St, Ann Arbor, MI 48104
🎉 What to Expect:


A variety of delicious potluck dishes


Fun games and engaging activities


A chance to experience traditional Chinese calligraphy


✨ Spots are limited to 50 attendees — Scan the QR code for the email invitation. Spots are available on a first-come, first-served basis.
 ",https://events.umich.edu/event/145209,,,CrossRoads,,,Maize Pages Student Organizations
145471-21897386,2/20/26 19:00,2/20/26 20:00,LSA Student Government UNITERS Smash Tournament,,Social / Informal Gathering,"The Smash Bros. Tournament is back form last semester! Come meet and compete with other Transfer, International, and Non-Traditional Students and prove who really is the best driver and fighter. Gifts cards to local businesses will be given out to those who win 1st, 2nd, and 3rd places! There will also be free snacks and pizza provided!",https://events.umich.edu/event/145471,LSA Building,1174,LSA Building,,"First Generation
Food
Free
Games
International Students
Nontraditional Students
Social
Transfer Students
Undergraduate
Undergraduate Students",LSA Student Government
143097-21892076,2/20/26 19:00,2/20/26 23:00,Telescope Observing,,Tours,"Join us to observe the night sky with the 1857 Fitz telescope and our collection of modern instruments.

Located on Central Campus next to Alice Lloyd Hall and Couzens Hall. Free admission; no registration required.

The Observatory will be open for exploration even if the weather does not permit telescope observing. We strive to always have interesting things for you to do!

Last visitors admitted 30 minutes prior to closing.

Observatory Hours:
Thursdays: 12-5 pm
Fridays: 12-11 pm
Saturdays (second and fourth of each month): 10-4 pm",https://events.umich.edu/event/143097,Detroit Observatory,,Detroit Observatory,,"Astronomers
astronomy
Education
educational
Family
free
Museum
museums
observing
Science
Telescope Observation
telescope viewing
Telescopes",Judy and Stanley Frankel Detroit Observatory
144506-21895437,2/20/26 20:00,2/20/26 21:30,"DaJuan Brooks, band conducting",,Performance,DMA candidate in band/wind conducting DaJuan Brooks conducts an ensemble as a dissertation recital.,https://events.umich.edu/event/144506,Earl V. Moore Building,Hankinson Rehearsal Hall,Earl V. Moore Building,Free - no tickets required,"Free
Music
North Campus","School of Music, Theatre & Dance (SMTD)"
144322-21895165,2/20/26 20:00,2/20/26 22:00,DPSS Game Night at South Quad,,Social / Informal Gathering,Join the Division of Safety & Security (DPSS) and the Multicultural Lounge Community Assistants for a night of Mario Kart 8 Deluxe for Nintendo Switch and pizza!,https://events.umich.edu/event/144322,South Quad,Ambatana - The Afro American Multicultural Lounge,South Quad,,"Community Building
Game Night
housing
Pizza","Michigan Housing Community Connections and Engagement
Division of Public Safety and Security DPSS"
145651-21897635,2/20/26 20:00,2/20/26 22:00,Evening of Scenes,,Performance,"Evening of Scenes is a two-hour show where several short, comedic scenes are performed, each written, directed, and acted by students. From witty banter to absurd situations, every scene brings a fresh dose of humor and entertainment. Please join us to celebrate student creativity and the arts at the University of Michigan!",https://events.umich.edu/event/145651,East Quadrangle,Keene Theater,East Quadrangle,,"Student Org
Theater
theatre",RC Players
144918-21896147,2/20/26 20:00,2/20/26 23:00,Lunar New Year UMix,,Social / Informal Gathering,"Happy Lunar New Year! Join CCI to celebrate the year of the Horse with a Dragon Dance, Food, Legos, DIY Lanterns, Stuff-a-Plush, sticker scenes, and a screening of ""Crazy Rich Asians""!",https://events.umich.edu/event/144918,Pierpont Commons,,Pierpont Commons,,"Cci
Food
Free
Fun
Lunar New Year",Center for Campus Involvement CCI
144505-21895436,2/20/26 20:00,2/20/26 21:30,"Marlia Nash, tenor trombone",,Performance,Graduate student Marlia Nash performs a final master's degree recital.,https://events.umich.edu/event/144505,Walgreen Drama Center,Stamps Auditorium,Walgreen Drama Center,Free - no tickets required,"Free
Music
North Campus","School of Music, Theatre & Dance (SMTD)"
135683-21896078,2/20/26 20:00,2/20/26 21:00,SOUTH QUAD / FLETCHER 2025-2026,Multiple conference events and sessions,Conference / Symposium,,https://events.umich.edu/event/135683,,,South Quad Game Room,,Sessions,Sessions @ Michigan
139437-21885545,2/20/26 20:00,,The Ark's 39th Annual Storytelling Festival - Liar's Contest,Presented by The Ark,Performance,"The fourth annual event!

Liars have been around since the snake first hit it off with Eve. By some accounts, contests celebrating liars have been around since the 15th century, but these accounts may be apocryphal. Today, liars contests are held in countries all around the globe.

The Fourth Annual Liar’s Contest at The Ark includes six first-class liars and three judges. The chaos wrangler and MC will once again be the amazing Amir Baghdadchi.",https://events.umich.edu/event/139437,,,GA - The Ark,See Site For Pricing Information,"Ark
Festival
Mutotix
Storytelling",Michigan Union Ticket Office (MUTO)
