course_number,title,term,credit_hours,instructor,description
EAS 549.001,Anal&Mod of Env Data,Fall 2025,3,Kai Zhu,"This course provides a comprehensive overview of standard and innovative methods in environmental data analysis and modeling, with an emphasis on frequentist and Bayesian statistical approaches. The curriculum is designed to equip students with practical skills using open-source programs in R. Key topics include: probability theory, Bayes' theorem, common statistical distributions, stochastic simulation, likelihood-based parameter estimation, model comparison, and model diagnostics. We will also introduce linear models, generalized linear models, and mixed-effects models, exploring both frequentist and Bayesian inference for these complex structures. The course emphasizes active learning through frequent hands-on exercises, which give students the opportunity to practice new analytical and modeling techniques using real or simulated datasets. Another important component of this course is the individual project, where students will apply learned methods to their own data or simulated data relevant to their scientific interests. This project culminates in the writing of a complete report. The analytical process will cover initial exploratory data analysis, selection and implementation of statistical and modeling approaches, and effective presentation and discussion of results."
EAS 549.001,Analysis and Modeling of Environmental Data,Winter 2025,3,Inés Ibáñez,"The course will meet the Analytic or Stats requirement for the SEAS MS degree, but not both. This course will consist of an overview of standard and innovative techniques in ecological data analysis and modeling. Topics will include: linear regression, mixed effects models (fixed and random effects), maximum likelihood, general linear models and general additive models, survival analysis, time series, spatial analysis and Bayesian and hierarchical Bayesian approaches. This course is designed for students to work on their own data, or simulated data, related to their research projects or scientific interests. While reviewing the major statistical methods used in ecology, students will work on their projects and will be presenting their work to the class along the semester, these presentations will consist on: initial exploratory data analysis, selection of statistical analysis or modeling approach, implementation, and results."
EAS 551.001,Clim Chng Sci&Sol,Fall 2025,3,"Parth Vaishnav Chen, Jiahui","This course consists of four parts. The first part will provide a primer for those who are curious about the physical mechanisms by which climate is determined, and by which, climate change occurs. The treatment of these mechanisms will not be overly quantitative, and no prior knowledge of meteorology or atmospheric science is assumed. The second part will describe the projected consequences of climate change; and those that are already occurring. This part will also familiarize students with how societies might adapt to these changes. The third part will explore (and critique) some of the tools that decisionmakers use to quantify and compare the damages caused by these consequences. The final part of the course will discuss some of the technologies that could be deployed to stave off dangerous climate change."
EAS 551.001,Clim Chng Sci&Sol,Winter 2024,3,"Parth Vaishnav Bin Haji Nawawi, Shuhaib",
EAS 552.001,Methods and Approaches to Sustainability and Development Problems,Fall 2025,3,Rajiv Ghimire,"This course provides a practical introduction to the key methods and approaches for analyzing sustainability and development challenges. First, students will learn the basics of quantitative and qualitative approaches including introductory data analysis and visualization. Following that, using hands-on exercises, students will learn the five most common methods useful in the field of sustainability and development: 1) impact evaluation, 2) cost-benefit analysis, 3) social/environmental life cycle analysis, 4) institutional analysis, and 5) remote sensing and Geographical Information System (GIS). This class will enable students to measure the impact of policies and programs, assess the life cycle impacts of given products, and understand how institutions can influence sustainability and development. Students will learn about real-world practices as well as the application of research to policy development and the evaluation of progress in sustainability and development indicators. Further, this course will expose students to research ethics and enhance their skills to analyze the strengths and limitations of different methods. Learning Goals and Objectives 1. Understand quantitative and qualitative approaches and the nature of data and analysis. 2. Learn and use research methods suitable for analyzing sustainability and development problems including impact analysis, cost-benefit analysis, social/environmental life cycle analysis, institutional analysis, and Geographical Information System. 3. Learn techniques of data analysis, visualization, and interpretation of results. 4. Understand how research in sustainability and development can contribute to policy and program development and evaluation. 5. Select an appropriate approach relevant to the individual interest and use the learning to analyze a new and relevant sustainability case."
EAS 553.001,Diverse Farming Sys,Fall 2025,3,Ivette Perfecto,"In this interdisciplinary course, we will critically explore intersecting literature on agroecology, biodiversity, ecosystem services, diversified farming systems, agroforestry, and farmer's livelihoods. The first part of the course will focus on the application of ecological theory to the study of diverse farming systems including intercropping and agroforestry. The second part will emphasize biodiversity both in terms of how agricultural landscapes affect biodiversity and how biodiversity contributes to the sustainability, productivity and resilience of agroecosystems and farming communities. The last part of the course will cover some of the most salient social issues in diverse farming systems, such as tree and land tenure and gender issues as well as the social rural movements that promote diverse farming systems and agroecology. Watch Faculty Introduction"
EAS 554.001,Sci&Mgmt of G Lakes,Fall 2024,3,Karen Alofs,"This course reviews the broad sciences required for appreciation and understanding of the Great Lakes Ecosystem, and simultaneously explores the challenges inherent in sustainable management of both the Lakes themselves and the societal benefits they support. A rich collection of online lectures by regional experts will provide background scientific understanding of the Great Lakes as a vast, complex and invaluable ecosystem. Class activities will include case studies that illustrate the complexities of current management and policy initiatives aimed at sustaining ecosystem health and services; case study exercises will be resourced by an experienced guest practitioner from the Great Lakes community. Students will also work collaboratively to build case studies on current Great Lakes issues."
EAS 554.002,Sci&Mgmt of G Lakes,Fall 2024,3,Karen Alofs,
EAS 555.001,Climate & Development,Winter 2026,3,Rajiv Ghimire,"Broadly understood, scholarship on climate change and development remains in its infancy.  Whereas there has been an extensive attention paid to both issues through the years, only recently they have come together both as a field of inquiry and practice.  Historically development policies emphasized centrally sponsored programs of change and large-scale projects to foment economic growth.  Scholarship in the human dimensions of climate change have mostly focused on anthropogenic drives and mitigation and only more recently has started to explore impacts and adaptation more seriously.  This class seeks to bring these two themes together by focusing on how development and climate change intersect both in policy design and implementation as well as a new focus of research and production of knowledge. The course is organized around themes interspersing climate change and development.  Part 1 is a historical look on development theory and practice and the emergence of climate change as a critical stressor to be taken into account for future policy making. Part 2 focuses on potential impacts of climate change in less developed countries.  Part 3 explores response options with an emphasis on adaptation, resource management, to the emergence of global institutions for environmental governance."
EAS 556.001,Transform Food Systm,Fall 2023,1.5,"Ivette Perfecto Hoey, Lesli","This course aims to build students' ""equity competency"" - the knowledge, skills and values needed to recognize and address historical and persistent structural inequities that pervade today's food systems. Drawing on multiple knowledges; experiential, systems-based and peer learning; field trips; speakers; critical reflection and discussion; and project-based learning, students will: a) learn key definitions associated with structural racism and strategies for addressing equity in the food system, b) reflect on their identities, values, implicit biases, and leadership styles, c) study inequities across various food systems dimensions, scales, and geographies, d) explore diverse career pathways for catalyzing food systems change, and e) practice interpersonal, communication and organizational leadership skills needed for collective action and policy advocacy. The goal is to prepare reflective, visionary and strategic food systems scientists and leaders who use systems thinking, collaboration, and an ethics of justice."
EAS 557.001,Indus Ecol,Winter 2026,3,"Benjamin Goldstein Baldwin, Owen, Kothari, Mallika","Industrial ecology is the systematic analysis of global, regional and local material and energy flows and uses that are associated with products, processes, industrial sectors, and economies. Energy consumption, non-renewable and renewable materials consumption, air pollutant emissions, waterborne pollutant effluents and solid waste generation associated with human activities are tracked. These analyses are the core tools of industrial ecology, which seeks to design and manage products and services that meet human needs in a sustainable manner. Industrial Ecology provides a scientific foundation for advancing the “Circular Economy,” which is a framework gaining the attention of business and industry. The course will provide you with analytical tools and methods for implementing principles of industrial ecology and the circular economy. The practical applications covered in the course will be based largely on current research in the area of life cycle assessment (LCA) and life cycle design. Life cycle assessment is a comprehensive tool for identifying and evaluating the full environmental burdens associated with a product system from production through retirement. This methodology is used for comparative analyses of alternatives including materials (e.g., biobased vs petroleum based), energy systems (renewable and fossil fuels), consumer products and packaging, automotive component designs, and residential construction methods. Other analytical tools covered include ecological footprint analysis, carbon footprint analysis (life cycle assessment of greenhouse gases), and life cycle cost analysis. Life cycle design focuses on integrating environmental considerations into product design. The challenge is to align and meet performance, cost, legal, and cultural requirements while achieving environmental improvements."
EAS 558.001,Water Pol & Polit,Winter 2024,3,,"This course provides a foundation in the legal and institutional dimensions of U.S. water policy, and an in-depth examination of the political challenges of water sustainability and equity. Course topics include perspectives from local, state, national, international contexts. Students will gain substantive expertise in the landscape and key levers of U.S. water policy and politics, strengthen their policy analysis skills, and work toward solutions to complex socio-environmental problems.   The course will strengthen EPP course offerings by building both understanding of public policy and political systems and the fundamentals of water law and policy specifically. The framework developed in the course for analyzing policy and politics will build on and largely mirror that in EAS 562, providing EPP students the opportunity to further develop those skills.  This course will provide a distinct policy and politics-focused approach to understanding water."
EAS 558.001,Water Policy & Politics,Fall 2025,3,Marc Smith,"Water is the basis for life. Water connects people, land, infrastructure, ecosystems, and the climate. The choices we make about how and where to use, transport, treat, or leave water resources have social, environmental, and economic consequences. These consequences are becoming more important over time. Water policy reveals the important effects of power in our political processes and decision making. This course provides an intensive graduate-level introduction to the legal and institutional dimensions of U.S. water policy and an in-depth examination of the political challenges of water sustainability and equity. Students will gain substantive expertise in the landscape and key levers of U.S. water policy and politics, strengthen their policy analysis skills, be exposed to leaders in the field, and work toward designing solutions to complex socio-environmental problems. The focus is on decision making processes, power structures, conflicts, and rules. The course focuses on U.S. freshwater policy and politics (although with some international examples) with a particular emphasis on the Great Lakes region."
EAS 559.001,Interview Methods & Qualitative Data Analysis,Winter 2026,3,"Alexandra Paige Fischer Zhang, Jenny","Individual and focus group interviews are critical methods for research and practice in environmental and sustainability fields. Interviews reveal detailed information about how and why people think and behave in the ways that they do, and the broader context in which people make decisions. This information can help decision-makers develop policies and programs to harness people's motivations to engage in environmentally sustainable behavior, and help them overcome constraints. This course will train students in individual and focus group interviewing as research strategies and practical tools for gathering information. It will also introduce students to methods for analyzing qualitative data to ensure rigor, usefulness, and communicability of results. The course will consist of lectures, role-plays, and peer feedback on interview project components, including research designs, interview guides, codebooks, analytical memos, and network and matrix displays of key findings."
EAS 560.001,Behavior&Environmt,Fall 2024,3,Raymond De Young,"People must become familiar with the behavioral consequences of energy descent and global heating, but they must not dwell on those issues. Instead, the focus must be on making a transition to a low-material-throughput pattern of living at individual, collective, and institutional levels (Mazur 2024). However, intentionally, and against the dominant social norm, this course frames this new reality as an opportunity to emphasize behaviors that increase well-being (De Young 2019). It foresees a shift toward tangible, small-scale initiatives aimed at building neighborhood resilience, with communities following Brooks’ (2019) advice to emphasize “…individualism less and relationalism more,” resulting in an unexpected increase in well-being."
EAS 560.002,Behavior&Environmt,Fall 2024,3,"Raymond De Young Woodward, Tara-Sky",
EAS 560.003,Behavior&Environmt,Fall 2024,3,"Raymond De Young Woodward, Tara-Sky",
EAS 561.001,Psy Env Stewardship,Winter 2025,3,Raymond De Young,"An enduring challenge of crafting a truly sustainable society is to create one in which people will want to live. Although it is an ecological necessity to live an austere existence, people will not eagerly pursue such a life if it is only presented as a necessity of survival. The issue here is psychological. How do we reframe and promote a sustainable existence so that people not only accept it, but actually seek it out? How do we support people so they begin building this society as soon as possible? These questions are explored through the framework of their being a behavioral challenge, not a political or technological issue. To meet this challenge, behavior change strategies are reviewed, some in early stages of development. Emphasis is on changing behavior in ways that it remains changed (durable) long after the intervention program ends, and expands to include new behaviors. Examples of such durable and growing behavior change are provided at the individual, neighborhood, and community level. Behavior change is further studied through the local, recently developed A2Zero carbon neutrality initiative."
EAS 561.002,Psy Env Stewardship,Winter 2025,3,"Raymond De Young Woodward, Tara-Sky",
EAS 562.001,Env Policy&Politics,Fall 2025,3,"Steven L. Yaffee Ho, Kenneth Law, Sinclair, Elisabeth","This course is designed to provide an intensive graduate-level introduction to the structure and dynamics of the U.S. environmental policy process. It is concerned both with policy formation – how proposals for action win sufficient support to be approved – and policy implementation – how policies and programs are actually put into effect. The course is intended primarily for students entering graduate or professional study in environmental policy, planning, and management or related fields. The course will meet for two 1-1/2 hour sessions per week. The format will be a mix of lecture and discussion. On days when case discussions are the primary focus, we will use our joint understanding of a policy issue and the policy process to examine what happened and why, and discuss what actors should do in a particular situation. The case discussions provide real settings to apply ideas about the policy process, probe historical behavior, and test strategy."
EAS 565.001,Princ of Transition,Fall 2023,2,Thomas Princen,"This is a 2-hour, 2-credit reading seminar in which students and instructor read four environmental books for in-depth, contextualized understanding of environmental trends and human ecological relations. Two books are read in common, most likely Cronon’s Nature's Metropolis: Chicago and the Great West and Kimmerer’s Braiding Sweetgrass: Indigenous Wisdom, Scientific Knowledge, and the Teachings of Plants. Two additional books, one a history, one fictional (or collection of stories) are chosen from a list. Prior to each class session students write and submit a “principle of transition” derived from the week’s assigned readings. It can take the form of a general causal pattern or a “do something,” that is, a practical implication of the readings. The principle should orient to 21st century transformation with rigorous sustainability as the goal. One of the two chosen books is presented in class, one is presented one-on-one to the instructor. A 3-page write-up of each book is submitted at the end of the semester (guidelines provided)."
EAS 567.001,Soc Vulnrblt&Adapt,Fall 2025,3,Alexandra Paige Fischer,"Increasingly frequent and severe wildfires, floods, and storm events raise concerns about how society can adapt to environmental change. The concept of social vulnerability is critical to identifying opportunities for adaptation. Social vulnerability refers to the geographic and socio-economic influences on the chance of harm to humans and the capacity of people to prepare and respond. Adaptations are strategies individuals, societies, or governments undertake in response to or anticipate environmental changes and climate threats. This three-credit course will introduce students to the concepts of social vulnerability and adaptation as well as frameworks for assessing vulnerability and planning adaptation in human communities. The course will explore theories and methods for investigating social vulnerability and adaptation from a behavioral perspective. We will not address these concepts from an environmental policy or politics perspective. Students will learn about methods for evaluating exposure, sensitivity, and adaptive capacity at different levels of social organization (individuals, communities, institutions), as well as approaches to designing vulnerability assessments and adaptation plans. The focus will be on climate change and related natural hazards relevant to coastal and inland areas, including wildfire, drought, flooding, sea level rise, and storm events. Small group discussions, projects, and conversations with practitioners will engage students in co-learning. By bringing different analytical perspectives and real-world case studies on vulnerability and adaptation, this class will help students understand, access, and promote sustainable and positive change in the face of accelerating global environmental changes."
EAS 567.001,Social Vulnerability and Adaptation,Winter 2023,3,Rajiv Ghimire,"Increasingly frequent and severe wildfire, flooding and storm events are raising concerns about how society can adapt to environmental change. Key to identifying opportunities for adaptation is the concept of social vulnerability. Social vulnerability refers to the geographic and socio- economic influences on the chance of harm to humans and the capacity of people to prepare and respond. This course will introduce students to the concepts of social vulnerability and adaptation as well as frameworks for assessing vulnerability in human communities. The course will not address these concepts  from an environmental policy of politics perspective. Rather, that course will explore theories and methods for investigating social vulnerability and adaptation from a behavioral perspective. Students will learn methods and skills for analyzing community exposure, sensitivity and adaptive capacity, and evaluating vulnerability assessment. The focus will be on climate change and related natural hazards relevant to coastal and inland areas of the US, including wildfires, drought, flooding, sea level rise and storm events Small group discussions, projects and conversations with practitioners will engage students in co-learning."
EAS 568.001,Reconnect&Revitalize,Fall 2024,2,Raymond De Young Thomas Princen,
EAS 570.001,Env Econ: Quant Meth,Fall 2025,3,,This course develops the conceptual frameworks of microeconomics and environmental economics that are essential for an environmental professional. It also introduces the quantitative methods for applying the frameworks along with a Microsoft Excel toolkit for the applications. Topics covered include markets and market failures; nonmarket valuation of environmental goods and services; benefit-cost analysis; environmental regulation; and natural resource allocation. Watch Faculty Introduction
EAS 571.001,Environmental Economics,Fall 2025,3,,"Economic analysis of market failures due to externalities and imperfect transmission of information and of normative recommendations for efficient government intervention to correct the market failures. Positive analysis of government behavior creating and implementing policies for air pollution, water pollution, hazardous wastes and occupational health. The course includes a computer simulation of river pollution, where teams of students assume the role of the Water Basin Authority."
EAS 572.001,Env Imp Asmnt,Fall 2025,2,,"A comprehensive framework for predicting and evaluating environmental impacts is presented.  The course emphasized the theory, application, integration and evaluation of models simulating transport and fate of contaminants in air surface and ground water, and soil.  Case studies and computer exercises are used to demonstrate contemporary exposure and health risk assessment problems."
EAS 573.001,Env Footprint & IOA,Winter 2024,3,,"Environmental footprints characterize the impacts on the environment driven by human consumption activities throughout the whole supply chain. This course introduces theories and concepts of environmental footprints, methods and tools to quantify environmental footprints of consumption activities at the nation and international scales, and applications such as carbon footprints and hybrid life cycle analysis. The key objective of this course is to introduce the input-output analysis (IOA) framework and its application in environmental footprinting. The first part of the course aims to develop a conceptual and practical understanding of IOA. The second part of the course demonstrates how to apply basic IOA framework and its various modifications to examine environmental footprints of consumption and trade. Upon completing this course, students are expected to have a good understanding of production systems, global supply chains, and their impacts on the environment."
EAS 574.001,Sus Energy Sys,Fall 2025,3,"Greg Keoleian Checkoway, Spencer Morgan, Doherty, Bennett Rockwell","This course examines the production and consumption of energy from a systems perspective.  Sustainability is examined by studying global and regional environmental impacts, economics, energy efficiency, consumption patterns and energy policy.  First, the physics of energy and energy accounting methods are introduced.  Next, the current energy system that encompasses resource extraction, conversion processes and end-uses are covered.  Responses to current challenges such as declining fossil fuels and climate change are then explored: unconventional fossil fuels, carbon sequestration, emerging technologies (e.g., renewable sources: biomass, wind, and photovoltaics; fuel cells) and end-use efficiency and conservation."
EAS 574.881,Sus Energy Sys,Fall 2025,3,"Greg Keoleian Checkoway, Spencer Morgan, Doherty, Bennett Rockwell",
EAS 575.001,Climate Econ&Policy,Winter 2026,3,"Samuel Stolper King, MacKensey","Climate change is an existential threat to all of humanity. It is a truly global collective action problem, whose damages are massive, widespread, unpredictable, and inequitably distributed. How, and how fast, will we decarbonize the planet? In this course, we will investigate these questions from an economic perspective. Economic analysis of the climate problem is valuable for a number of reasons: economics provides a framework for understanding incentives for human behavior; it facilitates the evaluation of markets and policies; and it is a language to which people listen, from the highest levels of government down to the individual household. In this course, we will use the lens of economics to clarify the challenge of climate change, understand market function in emissions-intensive industries, and evaluate the theoretical and empirical impacts of the climate policies at our disposal. We will start by reviewing some foundational economic concepts, as well as modeling and comparing the impacts of market-based and prescriptive policies. In the second unit of the course, we will zoom in on electricity, a sector with enormous greenhouse gas emissions and enormous importance for widespread decarbonization. In the third unit, we will consider several other applications of climate economics: energy efficiency, transportation, food and agriculture, water, nature-based solutions, and carbon neutrality. While not required, it is suggested that you take EAS 570 - Environmental Economics before taking this course."
EAS 576.001,Sustain Finance,Fall 2025,3,"Peter A. Adriaens Liu, Qiyan","The course reviews a range of financial innovations and investment models to scale capital allocations and reduce climate risk in portfolios, while driving green growth."
EAS 577.001,Pol Ecol I: Env Viol,Fall 2025,3,Bilal Butt,"This course uses a geographical political ecology lens to interrogate conflicts (broadly defined) between people and institutions over natural resources, in both developed and developing world contexts. The course will first review the literature on political ecology as an explanatory framework by tracing out its intellectual genealogy and outlining some of the current approaches and perspectives utilized in this subfield. Next, we will critique traditional approaches to the study of natural resources related conflicts. The remainder of the course will rely on theoretical and empirical studies, which help to unveil the complexities associated with conflict environments. Seven specific themes will be addressed in two parts. The first part concentrates on political ecological approaches to the study of environmental commodities and (violent) conflict and encompasses: (1) population, resource scarcity and green security, and (2) conflict commodities and extractive natural resources (oil, diamonds, forests, and water). The second part of the course probes deeper into the social and political aspects of environmental conflicts and specifically examines: (3) gender & the environment; (4) land, culture & identity; (5) climate change; (6) food security, and; (7) conflicts between people and protected areas."
EAS 579.001,Hydro Cycl&Wat Res M,Winter 2026,3,"Drew Gronewold Mirashe, Ashutosh","This course provides an introduction to the hydrologic cycle, and addresses implications of changes in the hydrologic cycle on water resources management. Students will develop an understanding of the major components of the hydrologic cycle, including precipitation, interception, soil water storage, runoff, streamflow, and groundwater flow. Case studies and representative problems will be derived from real-world applications to the Great Lakes and other regional hydrologic systems. Students will be expected to have a University-level proficiency in algebra, along with successful completion of a University-level chemistry course and physics course. Basic mathematical analysis and problem sets will be integral parts of this course."
EAS 580.001,Sust Transportation,Winter 2026,3,Parth Vaishnav,"Transport is now the largest source of greenhouse gas emissions in the U.S. Transport-related particulate matter and ozone cause roughly 20,000 premature deaths in the U.S. and many times that number in India and China. At the same time, personal and freight transport are essential for access to work and leisure and for economic vitality. In this course, you will learn techniques to estimate the energy use and pollution from passenger cars, heavy trucks, rail, aviation, and ocean shipping. You will learn about the technologies and policies that might help reduce greenhouse gas and other pollution from each of these modes of transport."
EAS 581.001,Adv Clim & Sust Educ,Winter 2026,2,Michaela Theresia Zint,"In Fall 2016 and Winter 2017, Dr. Zint and students from across the U-M co-designed the Massive Open Online Course (MOOC) Act on Climate: Steps to Individual, Community, and Political Action available via Coursera.  Due to the MOOC’s success, U-M’s Center for Academic Innovation (CAI) has agreed to support a revision/update of the MOOC.  Together, we will review existing content, videos etc., assess the content and delivery, and develop updated content to ensure the MOOC meets current standards in ways that best support learners.  As a result of the course, students will be able to learn about currently recommended (1) individual and collective climate mitigation and adaptation actions,  (2) predictors of how to foster these actions based on interdisciplinary research insights, and (3) (online) environmental/sustainability/climate education practices.  This course will also enable students to apply relevant knowledge (based on other courses or experiences) to advance the depth of their understanding.  Lastly, students will be able to strengthen their leadership as well as team/collaboration skills in ways that will enhance their marketability to employers while supporting global learners seeking to have an impact on climate change. This seminar is open to undergraduate, graduate, and doctoral students from all U-M schools and colleges."
EAS 581.001,Advanced Climate and Sustainability Education,Fall 2025,2,"Michaela Theresia Zint Michel, Jessica","This seminar is open to undergraduate, graduate, and doctoral students from all U-M schools and colleges, students who will work together to learn what actions and interventions can be taken to help mitigate climate anxiety and encourage action in both the students and their communities. Our goal is to provide SEAS, U-M, and other institutions with specific recommendations for interventions to implement to ensure climate anxiety is turned into action. As a result of the seminar, students will be able to 1) identify a range of climate emotions that can foster or hinder mitigation/adaptation action and 2) develop their own/others’ coping and resilience in the face of these emotions through a range of interventions - for the purpose of supporting individual and collective climate action and avoiding burnout as a climate/sustainability leader."
EAS 582.001,Prog Eval for SusDev,Fall 2025,3,"Pamela Jagger Reiley, Craig","The overarching question for this course is how do we know if sustainability initiatives achieve intended outcomes? The course draws on the theoretical foundations of public policy, political economy and the field of environment and development economics and policy. The core analytic orientation of the course is fundamentals of program or impact evaluation for sustainability and development initiatives including, research design for causal inference, realistic and process evaluation, design and measurement challenges, data sources and quality, approaches to synthesizing evidence, and cost effectiveness analysis. The course draws on a range of cases from low and middle-income countries including efforts to address water and sanitation, air pollution and energy access, forest-based climate mitigation, etc. Students who take this class will be able to analyze different approaches to monitoring and evaluation and critically evaluate existing evidence regarding the effectiveness of sustainability and development programs and policies. These skills are fundamental for developing new policy and designing programs that build productively on experience."
EAS 582.001,Prog Eval for SusDev,Winter 2024,3,,"The overarching question for this course is how do we know if sustainability initiatives achieve intended outcomes? The course draws on the theoretical foundations of public policy, political economy and the field of environment and development economics and policy. The core analytic orientation of the course is fundamentals of program or impact evaluation for sustainability and development initiatives including, research design for causal inference, realistic and process evaluation, design and measurement challenges, data sources and quality, approaches to synthesizing evidence, and cost-effectiveness analysis. The course draws on a range of cases from low and middle-income countries including efforts to address water and sanitation, air pollution and energy access, forest-based climate mitigation, etc. Students who take this class will be able to analyze different approaches to monitoring and evaluation and critically evaluate existing evidence regarding the effectiveness of sustainability and development programs and policies. These skills are fundamental for developing new policy, and designing programs that build productively on experience.."
EAS 585.001,Visualization I,Fall 2025,1,Amanda V. Szot,This course teaches landscape visualization skills and techniques to support landscape architecture studio projects in EAS 586 and 587.
EAS 586.001,Place&Envir Des Stu,Fall 2025,3,Joan Iverson Nassauer,"This course introduces you to a suite of socio-environmental functions for ecological design and planning. You will learn how to analyze the sites of design and planning interventions for their opportunities and constraints for ecological design, and how to assess designs and plans for their potential socio-environmental performance. For analysis and assessment, we will draw on data and knowledge from watershed management, landscape architecture, landscape planning, landscape ecology, geomorphology and soil science, climatology, human geography, and public health. You also will learn how to find evidence from these fields to support your future work. Both this studio and EAS 587. Ecological Design: Making Place, will focus on the same site."
EAS 586.002,Place&Envir Des Stu,Fall 2025,3,"Joan Iverson Nassauer Soulliere, Jessica M","This course introduces you to a suite of socio-environmental functions for ecological design and planning. You will learn how to analyze the sites of design and planning interventions for their opportunities and constraints for ecological design, and how to assess designs and plans for their potential socio-environmental performance. For analysis and assessment, we will draw on data and knowledge from watershed management, landscape architecture, landscape planning, landscape ecology, geomorphology and soil science, climatology, human geography, and public health. You also will learn how to find evidence from these fields to support your future work. Both this studio and EAS 587. Ecological Design: Making Place, will focus on the same site."
EAS 587.001,Plac&Env Makng Place,Fall 2025,3,Mark Lindquist,"Place and Environment: This course provides a basic foundation of the principles and processes involved in landscape design with emphasis on analysis local ecosystems as way of building a sense of place and understanding the context of site design.The goals of this class are to develop:• an ability to read and share landscape patterns through drawing and writing both in the field and in the studio,• research skills for uncovering the stories associated with local places,• an initial familiarity with the language and literature of landscape analysis and design,• an ability to analyze, critique, and create existing landscape designs, and• an understanding of regional ecosystems as a background for design, human culture. Making Places: This studio will continue what was started in the first half of the term, building upon it to introduce participants to many of the skills, processes, and ideas that environmental designers utilize in their work, focusing primarily upon the generation and communication of ideas, and upon the creation of socially and ecologically ‘just’ places that are contextually based and aesthetically wonderful. In order to do this, we will undertake a series of small assignments leading up and relating to a more complex final project that will encourage participants to utilize a variety of media (digital, analog, model, and others?) to both develop and disseminate ideas, concepts and plans to a specific audience. Each project will build upon the previous one, preparing students to undertake the challenges inherent in the design of built form. The focus for the main project will be the creation of a well-designed project on the site of your work from the first half of the term. Studio Format Watch Faculty Introduction"
EAS 587.002,Making Place Des Stu,Fall 2025,3,"Mark Lindquist Soulliere, Jessica M",
EAS 588.001,Site Engineering,Winter 2026,4,Wonmin Sohn,"Students will learn the basic elements of site engineering as well as the technical, ecological and aesthetic premises for applying engineering methods to site and landscape design.  Site engineering skills will be developed with lecture information and extensive studio/labs that integrate conventional and integrative problem solving.  The focal techniques to be mastered are site grading and storm water management – how and when to reshape the land in order to achieve outstanding design with great environmental integrity.  Integrated topics include earthwork calculation methods, linear corridor design – road and path systems, design of piping systems, retaining walls, steps, ramps and flattened sites.  Across all course topics, the underlying theme will be the achievement of sustainable design through the use of a best practices approach to site engineering and a sharp focus on storm water management."
EAS 588.002,Site Engineering,Winter 2026,4,"Wonmin Sohn Hughart, Paige",
EAS 589.001,Visualization II,Winter 2026,1,Amanda V. Szot,This course teaches landscape visualization skills and techniques to support landscape architecture studio projects in EAS 590 and 591.
EAS 590.001,Principles of Eco Site Design,Winter 2026,3,Stan Jones,This studio course introduces you to a suite of related socio-environmental functions for the design and planning of urban landscapes. These landscapes must embody transportation and utility systems and real estate development along with social and environmental benefits.
EAS 590.002,Principles of Eco Site Design,Winter 2026,3,"Stan Jones Jeffers, Hanna",This studio course introduces you to a suite of related socio-environmental functions for the design and planning of urban landscapes. These landscapes must embody transportation and utility systems and real estate development along with social and environmental benefits.
EAS 591.001,Ecological Site Design,Winter 2026,3,Wonmin Sohn,"This studio course introduces site design that is premised in the integration of ecological and aesthetic principles of sustainable design.  The experience introduces students to the design of ecologically beneficial and aesthetically engaging landscapes over a range of scales.  Strong design foundations will be drawn from the fields of landscape ecology, urban ecology, urban design, and landscape aesthetics."
EAS 591.001,Materials&Methods,Fall 2024,3,Stan Jones,
EAS 591.002,Ecological Site Design,Winter 2026,3,"Wonmin Sohn Jeffers, Hanna","This studio course introduces site design that is premised in the integration of ecological and aesthetic principles of sustainable design.  The experience introduces students to the design of ecologically beneficial and aesthetically engaging landscapes over a range of scales.  Strong design foundations will be drawn from the fields of landscape ecology, urban ecology, urban design, and landscape aesthetics."
EAS 591.002,Materials&Methods,Fall 2024,3,"Stan Jones Zbiciak, Teresa Renee",
EAS 592.001,Comp Environ Plng,Winter 2025,3,,Assessments created by students in Winter 2022 Assessment of Malawi Legislation through the Urban Law Module of the Law and Climate Change Toolkit FULL REPORT Assessment of Namibia Legislation through the Urban Law Module of the Law and Climate Change Toolkit FULL REPORT Assessment of Zimbabwe Legislation through the Urban Law Module of the Law and Climate Change Toolkit FULL REPORT
EAS 593.001,Environ Justice,Fall 2025,3,shakara tyler,"The goal of this course is to understand the historical and current intersections of environmental justice as a philosophy, practice, and social movement praxis. The course will cover the origins of the environmental justice movement in the U.S., the meanings associated with the term ""environmental justice"" and the historical and current intersections to food justice and food sovereignty. The course will examine historical and current events and analyze the various resistance strategies employed by social movements to resist environmental injustices. An international lens will be explored to build an understanding of environmental justice and its food-based intersections on a global level. Students will develop a broad understanding of the historical and contemporary factors that shape the emergence of environmental justice movements around the world, including the mechanisms that give rise to class, gender, racial, and other types of disparities. Students will gain an overall understanding of the topic through analyzing policy, research, and community discourses as it relates to community self-determination and empowerment sought by environmental justice movements"
