,key,prefix,number,suffix,title,description,minimum credits,maximum credits,other
5228,JAPNS 434,JAPNS,434,,Beyond Anime,"The visual, tactile, and literary arts play key roles in how modern nation-states make sense of themselves and how they make sense of other nations. Japan provides one key example through which to observe the use and function of art to create not only the image and identity of a nation and national culture, but also the image and identity of other national cultures. In recent years, Japanese popular culture has been reborn around the world. A global generation has grown up watching anime and reading manga in Spanish, Chinese, Russian, and English. Beyond Anime is designed to contextualize the recent appropriation and dissemination of Japanese popular culture through the cyclical history of such appropriations through the modern period. In this way, the course will explore the precursors, antecedents, and contexts to our present cultural moment. Through film, photography, posters, matchbook-labels, textiles, industrial design, novels, and myriad other popular media, this seminar-style study of Japanese popular visual culture will help students see Japanese visual arts in terms that are local to Japanese aesthetics and through those that transcend local cultures. Drawing on the long history of illustrated narrative from scrolls to chapbooks, through film and photo essay, this course confronts the exoticist notion that Japan's arts have always placed a disproportionately heavy emphasis on the visual. Through comparative readings of cultural and visual material from Japan, this course will raise questions of aesthetic, cultural, and national difference. Specific topics will vary with instructor, but may include: the rendering of three dimensional space through perspective, the use of pictures in the service of narrative versus the use of pictures as narrative, and how notions of negative space promise deep insight and risk crass stereotypes.",3,3,Prerequisite:  ASIA 4; ASIA 100; ASIA 101; ASIA 102; ASIA 104; ASIA 172; ASIA 174; ASIA 175; CMLIT 4; HIST 172; HIST 174; HIST 175; JAPNS 120; JAPNS 121; RLST 104; 5th Semester standing
5231,JAPNS 453,JAPNS,453,,Japanese Film,"Selected films and directors representing various aspects of Japanese culture and cinema; topics may vary each semester.  JAPNS 453 Japanese Film (3 per semester/maximum of 6) (IL) (BA) This course meets the Bachelor of Arts degree requirements.This class will be a seminar-style study of Japanese culture, texts, and language as seen through the lens of Japanese cinema. The goal is to deepen the students' understanding of diverse aspects of Japanese life, history, and culture while developing language skills. Typical class sessions may involve watching sections of film (with our without English subtitles); working with listening comprehension; engaging with student presentations (in Japanese) on studios, directors, or actors; discussing Japanese film history; and analyzing film stills for aesthetic qualities. Participants will be required to view and discuss films in Japanese (with or without English subtitles). Viewing's will be accompanied by secondary readings (at least some of which may be in Japanese). We will also be discussing the films and readings in the context of nation, identity, history, sociology and culture. Exercises will range from group discussion, web-based research in Japanese and English, presentations, essays and film analysis. Students must prepare for class by reading the material carefully, taking notes, writing down questions, and being ready to take part in lively conversations. Course discussion will take place primarily or exclusively in Japanese.This course satisfies the International Cultures requirement.",3,3,Prerequisite:  JAPNS401
5234,JAPNS 494H,JAPNS,494,H,Research Project,Supervised student activities on research projects identified on an individual or small-group basis.,1,12,Honors
5237,JAPNS 498,JAPNS,498,,Special Topics,"Formal courses given infrequently to explore, in depth, a comparatively narrow subject which may be topical or of special interest.",1,9,
5240,JST 10,JST,10,,Jewish Civilization,"This course explores the life of the Jewish people from Biblical times on, emphasizing cultural, religious, and institutional developments. HEBR 10 / HST 10 Jewish Civilization (3) (GH;IL)(BA) This course meets the Bachelor of Arts degree requirements. Jewish tradition goes back thousands of years, and Jews have resided in many different lands. They have become an integral part of many different cultures, yet have often retained (or been forced to retain) a certain degree of separateness or difference. In this course we will trace continuity and change in Jewish traditions from ancient to modern times, and across different regions. Taking into account inter-cultural contact and historical events -- ranging in place from the Middle East to Muslim Spain to Asia, Africa, Europe, and the Americas, and in time from the ancient world to the medieval era, the Holocaust, and contemporary Israel and the U.S. -- we will explore developments in Jewish history, literature, and culture. The course considers topics such as the attitudes other groups have had toward Jews (and vice-versa), the question of whether Jewish identity is a race, a religion, or an ethnicity, the dilemmas Jews face today, and the ways that Jews in many diverse settings have balanced change and continuity. We will explore the factors that shape Jewish experience in different times and places, the diversities within and among Jewish lifestyles, and the ways in which events and interactions with other peoples have influenced the development of Jewish civilization. Finally, we will consider the dilemmas Jews face today in terms of the preservation of their identity and traditions. The course includes class discussion. Students are evaluated on the basis of, essay exams, quizzes, in-class discussion and commentaries, and group projects.",3,3,Cross-listed with: HEBR 10Bachelor of Arts: HumanitiesInternational Cultures (IL)General Education: Humanities (GH)GenEd Learning Objective: Effective CommunicationGenEd Learning Objective: Integrative ThinkingGenEd Learning Objective: Key Literacies
5243,JST 70,JST,70,,Prophecy in the Bible and the Ancient Near East,"This course will introduce students to the prophetic traditions of the Bible and the Ancient Near East. The course will explore the development of prophetic circles in the ancient Near East (including Egypt, Syria-Palestine, and Mesopotamia), and then focus on the major prophetic traditions of the Hebrew Bible (e.g., the books of Isaiah, Jeremiah, Ezekiel, Amos, Hosea, Micah, Haggai, Zechariah, and Daniel). It will also look at how these traditions were understood in early Judaism and nascent Christianity. Special attention will be paid to the roles of priests, kings, and prophets in ancient Israel to better understand Israelite and Judaean prophetic traditions in ancient Israelite society. The course will then examine the rise of apocalypticism and its medieval and modern manifestations including a brief look at Islam. Additional emphasis will be placed on the religious and political interactions which manifest themselves in prophetic movements - then and now - including the rhetoric of ideology and propaganda. Important figures and events illustrate these cultural and political trends.",3,3,"Cross-listed with: CAMS 70, RLST 70International Cultures (IL)General Education: Humanities (GH)GenEd Learning Objective: Effective CommunicationGenEd Learning Objective: Crit and Analytical ThinkGenEd Learning Objective: Integrative ThinkingGenEd Learning Objective: Key Literacies"
5246,JST 102,JST,102,,Canaan and Israel in Antiquity,"This course is an overview of the ancient history and cultures of Canaan (the Mediterranean Levant of Syria-Palestine) and the emergence of Israel. It involves a critical view of biblical texts (especially the Hebrew Bible, aka Old Testament) in light of other ancient texts, archaeology, and historical methods, in order to explain the nature and the evolution of society, religion, and thought in the prebiblical and biblical era. We will be especially interested in the period from the end of the Late Bronze Age (c. 1200 BCE) to the Persian period (539-332 BCE), and will examine ongoing debates about the Bible and history, as well as the development of Israelite religion from polytheism toward monotheism and a distinctive worldview.",3,3,"Cross-listed with: CAMS 102, HIST 102, RLST 102Bachelor of Arts: HumanitiesInternational Cultures (IL)General Education: Humanities (GH)GenEd Learning Objective: Effective CommunicationGenEd Learning Objective: Crit and Analytical ThinkGenEd Learning Objective: Integrative ThinkingGenEd Learning Objective: Key Literacies"
5249,JST 110,JST,110,,Introduction to the Bible: Old Testament,"The Old Testament (or, Hebrew Bible) is the record of the interaction between the people of ancient Israel and their God. As a religious text, the Bible is inextricably intertwined with the cultures of Israel's neighbors, including the Canaanites, Syrians, Greeks, Assyrians, Babylonians, Arabs, Egyptians, and the peoples of the eastern desert. To study the Hebrew Bible and its development during the first millennium BCE is to study the history, culture, and literature of the entire region. This course introduces students to the literature of ancient Israel, its rituals, the stories which established a people's identity, and which defined their moral behavior. Great figures of the texts, such as Moses, David, Solomon, Bathsheba, Ruth, Jeremiah, Daniel, and Ezra, teach us important lessons about life and how people of faith attempted to relate to one another, to God, and to people outside their ethnic group. Students will read from the biblical text, as well as from secondary source readings which contains scholarly opinion from a variety of sources. Recent archaeological and epigraphical studies will be incorporated into the course to enhance our work. The ultimate goal will be to assess the meaning of the texts in their ancient Near Eastern environment; to understand the development of Hebrew religion and the beginnings of Rabbinic Judaism; and to understand the connection between biblical studies and other fields of study, such as History, Religious Studies, Archeology, Linguistics, and Comparative Literature.",3,3,"Cross-listed with: CAMS 110, RLST 110Bachelor of Arts: HumanitiesInternational Cultures (IL)General Education: Humanities (GH)GenEd Learning Objective: Effective CommunicationGenEd Learning Objective: Crit and Analytical ThinkGenEd Learning Objective: Key Literacies"
5252,JST 113,JST,113,,Jewish Myths and Legends,"Comparative study of diverse interpretations of stories from the Bible in Judaism and Christianity. CMLIT 113 / JST 113 / CAMS 113 / RLST 113 Myths and Legends of the Jews (3) (GH;IL) The impact of the Bible on Western Culture is immense. Beyond its religious importance, the motifs and images from its myths and stories permeate literature and art, providing a basic frame of reference that for much of history could be taken for granted. A degree of familiarity with these motifs so as to be truly fluent is no longer common, and so it requires special effort to discern allusions to biblical traditions. Moreover, these traditions are not static: religious communities continually re-interpret them and appropriate them in very different contexts. Many prominent traditions in Judaism, Christianity, and Islam do not appear explicitly anywhere in the Hebrew Bible, but are the product of imaginative and ingenious interpretation and re-tellings. Why, for example, is Noah an example of a righteous person in Christian tradition, but in rabbinic tradition is more often portrayed as a profane, earthly-minded man who was saved only because he was the least bad of an evil generation? Why is Moses commonly portrayed with horns in medieval art? Underlying such different traditions are centuries of debate and reflection on these texts as sacred scripture, and competing religious communities often authorized their distinctive beliefs and practices by reading them into scripture. The differences are often too subtle to discern apart from careful comparison. This course will explore the boundaries between Scripture and tradition by means of a close examination of the myths and stories in the Hebrew Bible and their subsequent interpretation and re-tellings in Judaism, Christianity, and Islam. Using methods from comparative mythology and folklore, as well as comparative midrash, our procedure will be to compare these traditions closely with the biblical text, asking: What are the main motifs in the mythology of Judaism? Does Judaism have a coherent mythology? How do their myths compare with the myths of their neighbors? Where did these myths come from? How do these traditions relate to the Bible? What was the function of these myths? Why are there competing myths? How is it possible that Judaism affirms belief in only one God, but has myths that include other divine beings? We will also compare with later interpretive traditions (Jewish, Christian, Islamic). Can we trace trajectories of interpretation? Can we discern particular interpretive methods in operation? We will seek to answer: what do these re-workings of the traditions tell us about the development and function of Scripture, and the social circumstances of the communities? Finally, we will seek to detect reflections of these interpretive traditions in literature and art from the medieval to the modern periods. The course is organized around major topics in the Jewish Scriptures: God, creation, heaven and hell, Torah, Sabbath, Abraham and other ancestors, Israel and holy land, exile, and Messiah. Throughout we will consider how sacred stories function to form ethical perspectives and values.",3,3,"Cross-listed with: CAMS 113, CMLIT 113, RLST 113Bachelor of Arts: HumanitiesBachelor of Arts: Other CulturesInternational Cultures (IL)General Education: Humanities (GH)GenEd Learning Objective: Integrative ThinkingGenEd Learning Objective: Key LiteraciesGenEd Learning Objective: Soc Resp and Ethic Reason"
5255,JST 116,JST,116,,Jewish Great Books,"Historical and cultural survey of key texts of the Jewish Tradition, from The Bible to the present.  CMLIT (J ST) 116 Jewish Great Books (3) (GH;IL)(BA) This course meets the Bachelor of Arts degree requirements. This course will introduce students to the rich and diverse expanse of the Jewish tradition through a survey of that tradition's most important texts. Starting from the Bible, moving up through the contemporary world, and spanning the globe, the course will examine religious, cultural, folkloric, philosophical, national, and literary traditions, and attention will be paid to both breadth emphasizing the vast range and diversity of Jewish thought and writing and depth emphasizing the complexity and subtlety of particular texts in examining the material. Students will learn methods and practices of textual, cultural, and historical criticism as they engage in analysis of Jewish textual traditions, of the relationship between representation and history, and of the productive interchanges between representation, history, and identity.",3,3,Cross-listed with: CMLIT 116Bachelor of Arts: HumanitiesBachelor of Arts: Other CulturesInternational Cultures (IL)General Education: Humanities (GH)GenEd Learning Objective: Crit and Analytical ThinkGenEd Learning Objective: Global LearningGenEd Learning Objective: Key LiteraciesGenEd Learning Objective: Soc Resp and Ethic Reason
5258,JST 121,JST,121,,History of the Holocaust 1933-1945,"This course focuses on the history and historiography of the Holocaust from 1933-1945. In addition to cultivating intellectual skills, such as critical analysis and concise presentation, the primary purpose of this course is to provide an in-depth overview of the Holocaust. The course will touch on various aspects of the Holocaust, including the function of the ""Ghettos"", the role of the mobile killing units, extermination camps, Jewish resistance, the role of the Allies, Holocaust trials, and the question how the Holocaust can be compared with other genocides. The course will analyze the Holocaust using historical, literary, and philosophical approaches.",3,3,Cross-listed with: HIST 121Bachelor of Arts: HumanitiesInternational Cultures (IL)General Education: Humanities (GH)GenEd Learning Objective: Global LearningGenEd Learning Objective: Integrative ThinkingGenEd Learning Objective: Key Literacies
5261,JST 124,JST,124,,Early and Medieval Christianity,"This course provides an introduction to the history of Christianity. It traces, specifically, the development of the Christian movement from its beginnings as a small Jewish sect in Jerusalem to its unlikely emergence as the religion of the Roman Empire and, finally, its subsequent spread and development in Europe, Asia, and Africa. In form and structure, the course is historical, following figures and events in a more or less chronological sequence and taking up questions of causality, influence, and social identity. Yet the course is also concerned with the ideas, concepts, and philosophical viewpoints that have shaped Christianity and given it a certain intellectual coherence over time. The course begins with first-century construals of messianic identity and also with the figure of Jesus, as he was portrayed in the New Testament gospels. It then follows the first generations of the Christian movement, considering it within the context of first-century Judaism and the early Roman empire. Topics include persecution, martyrdom, and the important contributions of Origen. The middle section of the course looks at the second, third, and fourth centuries through three lenses, as it were: the office of bishop, the rise of monasticism, and the realities of empire. Bishops, monks, and emperors all shaped Christianity in essential ways, creating a rich and complicated spiritual, moral, theological, intellectual, and geo-political legacy for generations to come. The final third of the course looks at the development of Christianity beyond the fourth century in geographical groupings including churches in Africa, Asia, the Middle East, western Europe, Byzantium, and the Slavic lands. It is hoped, in all of this, that students will gain an understanding not only of Christian history but also of what made - and what makes - Christianity a distinctive and influential religion.",3,3,"Cross-listed with: CAMS 124, RLST 124Bachelor of Arts: HumanitiesInternational Cultures (IL)General Education: Humanities (GH)GenEd Learning Objective: Crit and Analytical ThinkGenEd Learning Objective: Integrative ThinkingGenEd Learning Objective: Key Literacies"
5264,JST 132,JST,132,,Jewish American Literature,"This course will provide an introduction to Jewish American literature through a historical survey of the tradition's key texts, figures, and themes. The course will focus on the defining aspects of the literature and on what the literature ""thinks"" about Jewish American culture and identity. But rather than assuming a unity to Jewish-American culture, this course will use Jewish literature to seek ways of articulating and representing both the points of cohesion and the points of divergence that characterize Jewish life in America. The United States has absorbed large numbers of Jewish immigrants hailing from many parts of the world, holding many different ideas about Jewish practice, and affiliating themselves with many different political, social, and cultural traditions. Moreover, Jews have settled and made homes in a wide variety of American communities. This course aims to explore Jewish American culture's marked diversity by offering a literary window onto the major fault-lines running through Jewish American culture: lines demarcated by gender, by political affiliation, by geography, by pre-immigration community by religious practice, by attitude toward world Jewry, by national allegiance, and by minhag (or custom), to name just a few. The class therefore provides an opportunity to consider the constitution, origin, and development of Jewish American's identity and social formations by looking at how that identity and those social formations exist and what they ""do"" in literature written by and about Jews in America. Materials will consist predominantly of primary texts, including prose fiction and nonfiction, poetry, drama, and film. Course methodology will emphasize the close reading of these texts. The course complements offerings in Jewish Studies and English, and it will satisfy the GH and US requirements. Most obviously, the course will offer students of Jewish literature, world literature, and American literature an opportunity for contextualization. It enables students in Jewish Studies to study the rich literature of American Jews, and it adds to courses covering Jewish American history, religion, and culture. The course offers students in English a valuable, sustained introduction to an important U.S. and world sub-culture.",3,3,Cross-listed with: ENGL 132United States Cultures (US)General Education: Humanities (GH)GenEd Learning Objective: Effective CommunicationGenEd Learning Objective: Crit and Analytical ThinkGenEd Learning Objective: Key Literacies
5267,JST 143N,JST,143,N,History of Fascism and Nazism,"This course studies the developments of right-wing totalitarianism in the twentieth century with special emphasis on Fascist Italy and Nazi Germany, which provided the roots for fascist developments in the modern world. The course concerns itself with understanding the social, political, and economic contexts of fascism, its governing assumptions, ideals, and values, how it worked in practice, and its consequences and historical implications. Another focus will be on the question of why these illiberal, anti-democratic, and ultimately murderous regimes appear to have appealed to many groups during the 1930s and 1940s, not only within Italy and Germany, but also within broader European society.",3,3,Cross-listed with: HIST 143NBachelor of Arts: HumanitiesInternational Cultures (IL)General Education: Humanities (GH)General Education: Social and Behavioral Scien (GS)General Education -  Integrative: InterdomainGenEd Learning Objective: Global LearningGenEd Learning Objective: Integrative ThinkingGenEd Learning Objective: Key Literacies
5270,JST 152,JST,152,,Intermediate Biblical Hebrew,"Intermediate study of Biblical Hebrew grammar, syntax, and vocabulary. CAMS (JST/HEBR) 152 Intermediate Biblical Hebrew (3)(BA) This course meets the Bachelor of Arts degree requirements. CAMS/JST/HEBR 152 continues from CAMS/J ST/HEBR 151, which is a prerequisite for enrollment. After a brief review of key grammar and morphology from the first semester, the course will complete the process of providing students with a sufficient grasp of Hebrew vocabulary, morphology, and syntax to enable them to read unadapted passages from Biblical Hebrew texts (with the aid of a lexicon) by the end of the course. Class sessions will focus on grammar drills, sentences, and similar exercises as homework to supplement class work. As the semester progresses, students will read more and more from actual Hebrew texts, rather than composed sentences by the textbook author, so that when the students enter more advanced classes, they will find the transition to reading Hebrew as smooth as possible.In tandem with the increasing emphasis on Hebrew written by ancient Hebrews, the course will continue to focus on the linguistic and cultural background for the texts that the students read. Students will be evaluated on a combination of written work, including frequent quizzes, tests, homework completion, and course attendance and participation. CAMS/J ST/HEBR 152 will prepare students to continue with courses at the 400-level.",3,3,"Cross-listed with: CAMS 152, HEBR 152Bachelor of Arts: Humanities"
5273,JST 181,JST,181,,Introduction to the Middle East,"The course offers a survey of the history of the Middle East from the rise of Islam to the present day. The course introduces students to structures of power, society, and economy in three distinctive periods: 1) the rise of Islam and the caliphal era; 2) the pre-modern Ottoman era; 3) the modern era. The course also introduces students to some of the art, architecture, and literature of each period. Students will thus gain some depth in each period of history and acquire a broad view of change over time.",3,3,Cross-listed with: HIST 181Bachelor of Arts: HumanitiesBachelor of Arts: Other CulturesInternational Cultures (IL)General Education: Humanities (GH)GenEd Learning Objective: Global LearningGenEd Learning Objective: Key Literacies
5276,JST 193,JST,193,,Modern Iran,"This course covers the history of modern Iran from the late nineteenth century to the present day. The course examines significant events and historical trends with attention to local, regional, and global contexts, and examines causes and consequences of policies, protests, and revolutions from a variety of sources and perspectives. Through class lectures and discussions, and reading and written assignments, students will learn important terms, concepts, contexts, individuals, and events. They will learn to identify and analyze trends and patterns in Iran¿s history, make meaningful comparisons, locate specific events in meaningful context, and explain their significance. By the end of the course students will be able to explain current events in terms of Iran¿s long history of revolution as well as in terms of the more immediate history of the Islamic republic. Students will be able to discuss how the modern history of Iran is an example of larger historical trends of the twentieth century.",3,3,Cross-listed with: HIST 193Bachelor of Arts: HumanitiesBachelor of Arts: Other CulturesInternational Cultures (IL)General Education: Humanities (GH)GenEd Learning Objective: Global LearningGenEd Learning Objective: Key Literacies
5279,JST 199,JST,199,,Foreign Studies,Courses offered in foreign countries by individual or group instruction.,1,12,International Cultures (IL)
5282,JST 220,JST,220,,Global Diaspora and Exile,"Introduction to and survey of the Jewish and other Diasporas around the world.  HIST (J ST) 220 The Jewish and Other Diasporas (3) (GH;IL) The long dominant view that the Jewish experience since antiquity defines Diaspora as a concept has been challenged in recent years. The meaning of the term Diaspora and related terms, especially (ethnic and/or national) identity and (ethnic and/or national) community, is a matter of much debate across disciplines. The longevity and diversity of distinct Jewish communities around the globe make the Jewish case a particularly interesting subject for study. In a wide geographical, chronological and disciplinary comparative sweep, the course will explore the diverse nature of ethno-national and ethno-religious diasporas (and sub-diasporas), their position, their place of origin (""homeland"") and their new surrounding culture and society. More specifically, the course will analyze how Diaspora communities in Europe, Asia, and the Atlantic world reconstituted their identities as they expanded into new environments and encountered other cultures, from antiquity to the present. Emphasis will be placed on exploration of the intersection of politics and culture in respect to race, nationality, ethnicity, gender and class. A key question guiding the discussions will relate to the usefulness and limitations of the Diaspora concept, especially in regard to the discourse about globalization where the term is often used. The course will begin with an extensive discussion of theoretical texts about the Diaspora phenomenon. This is followed by case studies of several larger Diasporas, ranging from the Jewish, the Greek to the Chinese Diaspora. Several case studies, notably the Muslim Diaspora, the concept of a victim Diaspora, or alternative Diasporas highlight the limitations of the Diaspora concept. The course introduces students to interdisciplinary approaches, placing some emphasis on the use of theoretical texts written by historians, sociologists, political scientists, and anthropologists. The course includes a one-day field trip to the Lower Eastside in New York (visit of the Museum of Chinese in America, walking tour of the Lower Eastside to explore the history of a key American immigrant neighborhood).",3,3,Cross-listed with: HIST 220International Cultures (IL)General Education: Humanities (GH)
5285,JST 296,JST,296,,Independent Studies,"Creative projects, including research and design, that are supervised on an individual basis and that fall outside the scope of formal courses.",1,18,
5288,JST 405,JST,405,,Jews and Food,"Jewish laws, customs and attitudes with regard to food production, agricultural policy and eating from biblical to modern times.  JST 405 / RLST 405 Jews and Food (3) (IL) This course examines Jewish laws, customs and attitudes with regard to food production, agricultural policy and eating from biblical to modern times. These tenets of the Jewish tradition presently underwrite modern movements concerned with land use and food sustainability, as well as ethical behaviors in food production. The goal of the course is to understand how Jewish tradition can inform and contribute to improvements in the modern food system.The starting point is the ancient world of the Israelites,. Students will study agrarian interpretations of the Hebrew Bible as well as extra-biblical sources and archaeological data. The biblical attitudes toward food, eating, and agricultural practices are then traced into the post-biblical period and rabbinic periods. The course then jumps ahead to the present day, to shed light on a number of modern Jewish agricultural and food initiatives concerned with issues such as healthy land use, sustainability, and justice in food production and distribution. These movements proceed from various interpretations of Jewish law and custom, and illustrate how some modern Jewish attitudes toward food and eating are responsible for reimagining, and in some cases reinvigorating, biblical ideas and practices.At the conclusion of this course, students will be able to identify and understand the historical and theological significance of diet and eating practices of ancient Israelites and will understand the development of Jewish food laws and practices in the post-exilic and early rabbinic eras. Students will be able to evaluate the extent to which ancient Jewish thought has influenced modern Jewish attitudes and actions regarding food and social responsibility, and will be able to envision the ways in which Jewish tradition, both ancient and modern, can contribute to current progress and future improvement in our systems of food production, distribution and consumption. While a wide variety of derivative topics will be discussed, this course is particularly appropriate for students pursuing programs of study dealing with the biblical world, the development of early Judaism, Jewish ethics, and/or modern Jewish thought, as well as those studying agriculture and food systems who are interested in how Jewish tradition addresses these universal concerns.",3,3,Prerequisite: Third semester standing
5291,JST 411,JST,411,,Jewish Studies,Study of the life and thought of a particular period or movement in the history of Judaism.,3,3,Prerequisite: Second semester standing
5294,JST 424,JST,424,,Monotheism and the Birth of the West,"The birth of monotheism and its relation to social organization, the idea of individuality, and science.  J ST (HIST/RL ST) 424H (PHIL 434H) Monotheism and the Birth of the West (3) Learn about the formation of Western culture, while learning to analyze the texts and other evidence about its formation from a critical, rather than naive, viewpoint. The idea of monotheism probably arose very early and was even briefly implemented as a state cultic policy in Egypt in the 14th century BCE. Why, then, did it take another seven centuries to become widespread--appearing in ancient Judah, Babylon, and Ionia almost simultaneously? To answer this question, the course focuses on several developments, through the medium of primary texts and archaeology: the shift from a state hinterland based in extensive agriculture and household processing to one organized for intensive agriculture and industrial processing the rise of recognizably modern science; the promotion of individuation and an international elite culture in the context of Assyrian and Babylonian imperial ambitions; the development of the historical and archaeological arts in the context of archaizing in order to reinvent local traditions; and the socialization of monotheism and of democracy. Students will be evaluated on their discussion of the textual evidence as well as on reports in class and a final paper. This is the sole honors course treating the birth of the West. It expands on knowledge acquired in courses listed as prerequisites and in CAMS/J ST/RL ST 012; CAMS 044; ANTH/CAMS 133; CAMS/PHIL 200; HIST 100; HIST/J ST 102; and PHIL 200 and enriches the student experience in CAMS 400, CAMS 440, and CAMS 480; HIST 402; J ST 411; PHIL 437, PHIL 453, and PHIL 461. This course counts toward the major in Jewish Studies, History, and Religious Studies and toward the minor in Jewish Studies and Religious Studies. This course will be offered once every other year with 35 seats per offering.",3,3,Prerequisite: Three credits in JST
5297,JST 427,JST,427,,Topics in Jewish American Literature,"An in-depth examination of important themes, writers, and/or historical developments in Jewish Literature of the United States.  ENGL (J ST) 427 Topics in Jewish American Literature (3) This course will provide sustained examination of major themes, texts, and figures in the Jewish American literary tradition. The course will focus on depth rather than breadth in its analysis of the defining aspects of the literature and on what the literature reveals about Jewish American culture and identity. The United States has absorbed large numbers of Jewish immigrants from many parts of the world, holding many different ideas about Jewish practice, and affiliating themselves with many different political, social, and cultural traditions, and moreover Jews have settled and made homes in a wide variety of American communities. Close analysis of literature will therefore provide an opportunity to consider the constitution, origin, and development of Jewish America's wider cultural, political, and social contexts. Materials will consist predominantly of primary texts, including prose fiction and nonfiction, poetry, drama, and film, and the methodology will emphasize the close reading of these texts. The course complements offerings in Jewish Studies, English, and Comparative Literature. Most obviously, the course will offer students of Jewish literature, world literature, and American literature an opportunity for contextualization. It enables students in Jewish Studies to study the rich literature of American Jews, and it adds to courses covering Jewish American history, religion, and culture. The course offers students in English and Comparative Literature a valuable, sustained introduction to an important U.S. and world sub-culture and -literature.",3,3,"Prerequisite: ENGL 15; ENGL 15A; ENGL 15S; ENGL 15E; ESL 15; ENGL 30H; ENGL 30T or ( ENGL 137H, ENGL 138T )"
5300,JST 443,JST,443,,Jewish Histories of the Middle East,"Jews have been part of Middle Eastern societies for thousands of years. They flourished at times and endured hardships at others, but they have been part of every significant social and cultural transformation of the Middle East. In this class, students will discuss the significant contribution of the Jewish community to the development of various Middle Eastern societies throughout the centuries. Students will critically read and analyze primary sources and secondary literature. We will delve into national historiographies of places such as Morocco, Egypt, and Iran-to name a few-and seek to discover a nuanced narrative of Jewish histories of the region. We will also analyze popular culture products, such as documentaries, television, and literature. The course will follow a chronological and thematic order, and will examine Jewish history in conjunction with global and interregional processes in the Middle East and beyond, such as colonialism, imperialism, nationalism, relations with the West, the formation of the modern nation states of the Middle East, and the Israeli-Arab conflict.",3,3,Cross-listed with: HIST 443
5303,JST 468,JST,468,,Jewish Philosophy,"Explores major figures and trends in Jewish philosophy and their influences on other philosophical traditions.  J ST (PHIL) 468 Modern Jewish Philosophy (3) The primary objective of this course is to encourage students to have a reflective stance on Jewish thought. Students will learn what comprises Jewish thought and how it is distinguished from theology. They will learn what role religion plays in philosophical thought and what is at stake for a philosophy that emerges from a particular religion. This course will give students perspective on how Judaism links to other philosophical movements, for example, the enlightenment of the modern period. It will enable to think about Judaism from a theoretical perspective, adding a new dimension to what they might study from historical, sociological, or literary viewpoints. Some questions we will consider include: In what ways does it converge/diverge, with the philosophical strains that influence it? In what ways have particular events in history shaped Judaic thinking? Does Judaism, or Judaic thinking, have an essence? If so, what is it? What does Judaism mean for the Jews, and what does it mean for others? And finally, what role does mysticism have in the play between religion and philosophy? Students will be evaluated by written work (short papers and a longer seminar paper) and a class presentation.",3,3,Prerequisite:  one course in Philosophy and/or Jewish Studies
5306,JST 478,JST,478,,Ethics After the Holocaust,"This course analyzes the ethical and philosophical consequences of the Holocaust. Primary areas of examination will be (1) the nature of pre-Holocaust ethical theories and how those theories have failed to sufficiently account for the Holocaust, both philosophically and empirically, and (2) possibilities for a post-Holocaust ethics. Course topics will include the history of ethical theory, the nature and problem of evil, goodness and suffering, witnessing and testimony, and the promise of an ethics. In addition, recent approaches to trauma theory and rights discourse will also be introduced, with some emphasis on how post-Holocaust ethics have been utilized in contemporary human rights work. This course provides students with philosophical approaches to the issues that emerge out of the events of the Holocaust. The course will help students expand their knowledge of the events of the Holocaust through a philosophical approach that does not merely expose them to what happened, but asks them to think about the implications of what happened: most specifically, how do we understand ethical life, if it cannot stop or confront evil? The course will encourage students to think critically, write effectively and express their thoughts logically. Student evaluation will be based on both regular writing assignments and in-class work, possibly including presentations and group-work. This course covers material in the history of philosophy, contemporary philosophy, and writings pertaining to the Holocaust in various forms (historical, literary documentary, and so forth). It provides links to other major areas in the history of philosophy, postmodernism, ethics, philosophy of religion, and Jewish history.",3,3,Prerequisite: One course in either JST or PHIL
5309,JST 494H,JST,494,H,Research Projects,Supervised student activities on research projects identified on an individual or small-group basis.,1,12,Honors
5312,JST 497,JST,497,,Special Topics,"Formal courses given infrequently to explore, in depth, a comparatively narrow subject that may be topical or of special interest.",1,9,
5315,KINES 1Z,KINES,1,Z,Introduction to Outdoor Pursuits -LINKED,"Introduction to Outdoor Pursuits (KINES 1Z/ RPTM 1Z) is a course that is designed to introduce the student to selected outdoor pursuit activities. The selected activities will depend on the time of the year and availability of resources. The activities could include but are not limited trail day hiking, mountain biking, backpacking, orienteering, kayaking, canoeing, cross country skiing, or to rock climbing experiences. All selected activities will follow the same basic format of skill development and training procedures, history and philosophical underpinnings of the activity, available written resources and professional organizations related to the Course Justification activity, logistical equipment preparation, appreciation of environmental impact of partaking in the selected activity, safety management / risk assessment and future opportunities to participate in the activity. It is a purpose of this course to allow the student to explore different outdoor pursuit activities and then to make a more informed decision as to which activities they might choose to further develop their skill base and competency necessary to partake in the activity at a more advanced level on a life-long basis. Through opportunities to develop camaraderie through collaborative work/ teamwork, students practice safe participation in the selected activities with attention to environmental impact. Students will experience a common skill base from which to engage in the activities. After completion of the course, students are encouraged to engage in adventure recreation programs, and other appropriate courses to help with the continued development of life skills. This course fulfills credits toward the GHW General Education requirement. KINES 1Z/RPTM 1Z is linked to ENGL 183Z; the two courses must be taken concurrently.",5,3,Enforced Prerequisites at Enrollment: ENGL 183Z
